
===== run 'base' | device cuda | preset base =====
artifacts -> runs/base/  (train.log, metrics.jsonl, summary.json, samples.txt, figures/)
args: {"preset": "base", "run_name": "base", "checkpoint_dir": "checkpoints", "runs_dir": "runs", "batch_size": 96, "max_steps": 100000, "warmup_steps": 4000, "label_smoothing": 0.1, "dropout": 0.1, "grad_clip": 1.0, "max_len": 64, "vocab_size": 10000, "log_every": 50, "eval_every": 2000, "bleu_sentences": 1000, "num_workers": 2, "seed": 1337, "amp": true, "no_figures": false, "device": null, "resume": null}
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
data: online=True train=29000 val=1014 test=1000
vocab: 10000
model: 49,260,544 params | d_model=512 h=8 6+6
training to 100000 steps...

step  10000 | loss  1.960 | ppl     7.10 | lr 4.42e-04 | gnorm   1.88 |    15638 tok/s
  [eval @ 10000] val_loss 3.763 | val_ppl 43.06 | BLEU 21.57
step  10050 | loss  1.998 | ppl     7.37 | lr 4.41e-04 | gnorm   1.47 |     4576 tok/s
step  10100 | loss  1.916 | ppl     6.79 | lr 4.40e-04 | gnorm   1.35 |    16833 tok/s
step  10150 | loss  2.012 | ppl     7.48 | lr 4.39e-04 | gnorm   1.53 |    17187 tok/s
step  10200 | loss  2.047 | ppl     7.74 | lr 4.38e-04 | gnorm   1.42 |    17296 tok/s
step  10250 | loss  2.069 | ppl     7.91 | lr 4.37e-04 | gnorm   1.51 |    17400 tok/s
step  10300 | loss  2.284 | ppl     9.81 | lr 4.35e-04 | gnorm   1.78 |    17102 tok/s
step  10350 | loss  1.957 | ppl     7.08 | lr 4.34e-04 | gnorm   1.34 |    16064 tok/s
step  10400 | loss  1.964 | ppl     7.13 | lr 4.33e-04 | gnorm   1.51 |    17021 tok/s
step  10450 | loss  2.062 | ppl     7.86 | lr 4.32e-04 | gnorm   1.68 |    16937 tok/s
step  10500 | loss  2.014 | ppl     7.49 | lr 4.31e-04 | gnorm   1.40 |    17239 tok/s
step  10550 | loss  2.039 | ppl     7.68 | lr 4.30e-04 | gnorm   1.44 |    17248 tok/s
step  10600 | loss  2.131 | ppl     8.42 | lr 4.29e-04 | gnorm   1.57 |    17001 tok/s
step  10650 | loss  1.957 | ppl     7.08 | lr 4.28e-04 | gnorm   1.49 |    15846 tok/s
step  10700 | loss  2.010 | ppl     7.46 | lr 4.27e-04 | gnorm   1.66 |    16756 tok/s
step  10750 | loss  2.007 | ppl     7.44 | lr 4.26e-04 | gnorm   1.47 |    17026 tok/s
step  10800 | loss  1.970 | ppl     7.17 | lr 4.25e-04 | gnorm   1.46 |    17013 tok/s
step  10850 | loss  2.019 | ppl     7.53 | lr 4.24e-04 | gnorm   1.49 |    17202 tok/s
step  10900 | loss  2.014 | ppl     7.50 | lr 4.23e-04 | gnorm   1.51 |    17042 tok/s
step  10950 | loss  1.895 | ppl     6.65 | lr 4.22e-04 | gnorm   1.47 |    15950 tok/s
step  11000 | loss  1.954 | ppl     7.05 | lr 4.21e-04 | gnorm   1.44 |    16735 tok/s
step  11050 | loss  1.957 | ppl     7.08 | lr 4.20e-04 | gnorm   1.54 |    17014 tok/s
step  11100 | loss  2.020 | ppl     7.54 | lr 4.19e-04 | gnorm   1.60 |    16904 tok/s
step  11150 | loss  1.999 | ppl     7.38 | lr 4.19e-04 | gnorm   1.46 |    16872 tok/s
step  11200 | loss  2.014 | ppl     7.49 | lr 4.18e-04 | gnorm   1.55 |    16914 tok/s
step  11250 | loss  1.934 | ppl     6.92 | lr 4.17e-04 | gnorm   1.54 |    16015 tok/s
step  11300 | loss  1.941 | ppl     6.96 | lr 4.16e-04 | gnorm   1.39 |    16876 tok/s
step  11350 | loss  1.945 | ppl     6.99 | lr 4.15e-04 | gnorm   1.56 |    16941 tok/s
step  11400 | loss  1.964 | ppl     7.13 | lr 4.14e-04 | gnorm   1.55 |    16716 tok/s
step  11450 | loss  2.074 | ppl     7.95 | lr 4.13e-04 | gnorm   1.58 |    16344 tok/s
step  11500 | loss  1.969 | ppl     7.17 | lr 4.12e-04 | gnorm   1.49 |    16151 tok/s
step  11550 | loss  1.861 | ppl     6.43 | lr 4.11e-04 | gnorm   1.46 |    15712 tok/s
